employee_id,month,productivity_level,days_worked,performance_score,incident_count,incident_type,department,location,job_title,worker_type
22,2023-03,92.03375924992442,16,2.9,0,,Management,Graaff-Reinet,Finance Manager,Permanent
23,2023-03,107.97844126680307,16,3.1,0,,Management,Citrusdal Pack House,General Manager,Permanent
24,2023-03,115.89031905212767,16,3.2,0,,Management,Dullstroom,HR Manager,Permanent
25,2023-03,117.46886790692858,18,3.4,2,Equipment Damage,Management,Upington,Finance Manager,Permanent
26,2023-03,103.94728902831521,20,3.5,0,,Management,Citrusdal,Production Manager,Permanent
27,2023-03,107.62931332896143,20,3.5,0,,Management,Graaff-Reinet,General Manager,Permanent
28,2023-03,104.22732377068476,15,3.0,0,,Management,Citrusdal,General Manager,Permanent
29,2023-03,101.0602589430474,19,3.3,0,,Management,Ceres Pack House,Production Manager,Permanent
30,2023-03,108.11720308718562,19,3.4,0,,Management,Ceres Pack House,Farm Manager,Permanent
31,2023-03,96.07593991976441,18,3.2,0,,Management,Citrusdal,Farm Manager,Permanent
32,2023-03,124.46650024038023,20,3.7,0,,Management,Ceres Pack House,Finance Manager,Permanent
33,2023-03,82.7110944068467,19,3.1,0,,Management,Graaff-Reinet,General Manager,Permanent
34,2023-03,104.58314513902512,16,3.1,2,Unauthorized Absence,Management,Ceres Pack House,Farm Manager,Permanent
35,2023-03,91.67970769544928,19,3.2,0,,Management,Graaff-Reinet,Farm Manager,Permanent
36,2023-03,104.223135908548,20,3.5,0,,Management,Dullstroom,Operations Manager,Permanent
37,2023-03,101.84492346595343,19,3.3,0,,Management,Ceres,Production Manager,Permanent
38,2023-03,105.31551205468833,18,3.3,0,,Management,Ceres Pack House,HR Manager,Permanent
39,2023-03,108.44839476179038,11,2.7,0,,Management,Ceres Pack House,Finance Manager,Permanent
40,2023-03,90.15486771205005,20,3.3,0,,Management,Ceres,Farm Manager,Permanent
41,2023-03,98.99992004322931,18,3.2,0,,Management,Upington,HR Manager,Permanent
42,2023-03,114.68267522666949,15,3.1,0,,Management,Graaff-Reinet,HR Manager,Permanent
43,2023-03,99.20647216722746,16,3.0,0,,Management,Citrusdal Pack House,Operations Manager,Permanent
44,2023-03,95.66521363313691,17,3.1,0,,Management,Dullstroom,General Manager,Permanent
45,2023-03,106.74671613675763,20,3.5,0,,Management,Ceres,HR Manager,Permanent
46,2023-03,86.55014184663229,19,3.2,0,,Management,Upington,Finance Manager,Permanent
47,2023-03,126.7065712137079,17,3.4,0,,Management,Graaff-Reinet,Production Manager,Permanent
48,2023-03,113.96112386462408,19,3.5,0,,Management,Ceres,HR Manager,Permanent
49,2023-03,98.46954831867218,17,3.1,1,Unauthorized Absence,Management,Upington,General Manager,Permanent
50,2023-03,96.53549273857797,19,3.3,0,,Management,Citrusdal,Operations Manager,Permanent
56,2023-03,84.98032022246292,20,3.4,0,,Cattle Farming,Dullstroom,Cattle Herder,Permanent
59,2023-03,167.4162127239567,19,3.3,0,,Pack House Operations,Citrusdal Pack House,Machine Operator,Permanent
61,2023-03,216.90040547700653,20,3.8,0,,Pack House Operations,Ceres Pack House,Logistics Coordinator,Permanent
62,2023-03,126.90613838935887,20,3.7,0,,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent
65,2023-03,163.48612967449674,19,3.3,0,,Pack House Operations,Citrusdal Pack House,Machine Operator,Permanent
66,2023-03,119.71635965238328,19,3.5,0,,Logistics,Ceres Pack House,Driver,Permanent
68,2023-03,109.11078861156685,20,3.4,0,,Grape Production,Upington,Vineyard Worker,Permanent
77,2023-03,111.2362263952098,20,3.5,0,,Logistics,Citrusdal Pack House,Logistics Supervisor,Permanent
78,2023-03,116.02141599916824,19,3.4,0,,Citrus Production,Ceres,Tractor Driver,Permanent
79,2023-03,103.82381802259461,20,3.3,0,,Citrus Production,Citrusdal,Irrigation Specialist,Permanent
84,2023-03,114.40570816612043,18,3.4,0,,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent
86,2023-03,114.33695964743482,19,3.5,0,,Administration,Ceres Pack House,Data Entry Clerk,Permanent
87,2023-03,103.55912771417648,17,3.1,0,,Citrus Production,Ceres,Irrigation Specialist,Permanent
88,2023-03,95.13538105438793,16,3.0,0,,Logistics,Ceres,Forklift Operator,Permanent
89,2023-03,107.22625675723819,20,3.5,0,,Administration,Citrusdal,Office Manager,Permanent
90,2023-03,111.34402998972118,20,3.4,0,,Citrus Production,Ceres,Farm Supervisor,Permanent
91,2023-03,105.46034967019146,19,3.4,0,,Logistics,Ceres Pack House,Warehouse Worker,Permanent
92,2023-03,69.31342760809544,20,3.2,0,,Cattle Farming,Dullstroom,Farm Hand,Permanent
93,2023-03,137.48512312250702,19,3.6,0,,Grape Production,Upington,Vineyard Supervisor,Permanent
94,2023-03,86.60422660855106,18,3.1,0,,Administration,Citrusdal,Admin Clerk,Contract
95,2023-03,97.7871517167509,19,3.2,0,,Citrus Production,Ceres,Harvester,Permanent
96,2023-03,102.42240555491634,11,2.5,0,,Maize Production,Graaff-Reinet,Crop Specialist,Contract
97,2023-03,101.20506661400249,19,3.3,0,,Logistics,Ceres Pack House,Driver,Permanent
99,2023-03,110.77845480761601,20,3.5,0,,Maintenance,Upington,Mechanic,Permanent
101,2023-03,96.26778767599285,18,3.1,0,,Maize Production,Graaff-Reinet,Farm Worker,Permanent
103,2023-03,87.83645441188324,19,3.3,0,,Cattle Farming,Dullstroom,Farm Hand,Permanent
106,2023-03,128.3543625260931,20,3.7,0,,Logistics,Upington,Warehouse Worker,Permanent
108,2023-03,107.83979985180879,18,3.3,0,,Logistics,Ceres,Driver,Permanent
110,2023-03,95.90468682825058,17,3.0,0,,Citrus Production,Citrusdal,Harvester,Contract
112,2023-03,112.05674962447092,19,3.5,0,,Administration,Graaff-Reinet,HR Assistant,Permanent
114,2023-03,104.91401045059337,20,3.5,0,,Maintenance,Dullstroom,Equipment Technician,Permanent
117,2023-03,148.50438402622686,19,3.2,0,,Pack House Operations,Ceres Pack House,Logistics Coordinator,Permanent
119,2023-03,98.05317511684447,19,3.3,0,,Maintenance,Citrusdal Pack House,Mechanic,Contract
121,2023-03,133.30575944517108,20,3.6,0,,Grape Production,Upington,Vineyard Supervisor,Permanent
123,2023-03,97.66172417888868,20,3.4,0,,Maintenance,Upington,Maintenance Supervisor,Permanent
127,2023-03,108.3203647853876,20,3.5,1,Equipment Damage,Maintenance,Ceres Pack House,Equipment Technician,Permanent
129,2023-03,98.53268702730101,16,3.0,1,Safety Incident,Administration,Citrusdal Pack House,Payroll Officer,Permanent
132,2023-03,113.42568862492415,19,3.5,0,,Maintenance,Dullstroom,Maintenance Supervisor,Permanent
135,2023-03,94.54143249364448,18,3.2,0,,Logistics,Ceres Pack House,Forklift Operator,Permanent
138,2023-03,80.55593599269011,16,2.8,0,,Administration,Ceres Pack House,Admin Clerk,Contract
140,2023-03,109.33431571014705,20,3.5,0,,Logistics,Citrusdal Pack House,Driver,Permanent
142,2023-03,124.35038919228697,20,3.5,0,,Citrus Production,Ceres,Farm Supervisor,Permanent
145,2023-03,98.16548736647316,17,3.1,0,,Logistics,Ceres Pack House,Dispatcher,Permanent
147,2023-03,107.96128609733998,20,3.5,0,,Logistics,Graaff-Reinet,Forklift Operator,Permanent
158,2023-03,109.50654162316822,19,3.4,0,,Administration,Citrusdal,Admin Clerk,Permanent
160,2023-03,112.43616746870579,19,3.3,0,,Maize Production,Graaff-Reinet,Tractor Driver,Permanent
161,2023-03,107.69866834612927,17,3.1,0,,Grape Production,Upington,Pruner,Permanent
163,2023-03,114.58932983887743,19,3.5,0,,Administration,Ceres Pack House,Data Entry Clerk,Permanent
164,2023-03,123.56434699248891,20,3.5,0,,Citrus Production,Ceres,Farm Worker,Permanent
166,2023-03,82.43103271629161,18,3.1,0,,Cattle Farming,Dullstroom,Farm Hand,Permanent
169,2023-03,84.99880957476982,11,2.4,0,,Administration,Dullstroom,Data Entry Clerk,Contract
172,2023-03,97.8830565563834,20,3.5,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
174,2023-03,111.85562306261424,18,3.4,0,,Maintenance,Citrusdal,Mechanic,Permanent
175,2023-03,140.35646982649843,19,3.1,0,,Pack House Operations,Ceres,Logistics Coordinator,Permanent
176,2023-03,87.6475521300418,19,3.2,0,,Maintenance,Citrusdal,Electrician,Permanent
180,2023-03,129.74368666849753,18,3.6,1,Equipment Damage,Administration,Dullstroom,Data Entry Clerk,Permanent
182,2023-03,120.72496604979251,18,3.5,0,,Administration,Citrusdal,Admin Clerk,Permanent
183,2023-03,120.96316759146809,20,3.6,0,,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent
186,2023-03,116.87467093080558,18,3.4,0,,Logistics,Citrusdal,Logistics Supervisor,Permanent
188,2023-03,101.94956787410008,16,2.9,0,,Citrus Production,Citrusdal,Farm Supervisor,Permanent
193,2023-03,99.62452211333957,20,3.4,1,Policy Violation,Logistics,Upington,Warehouse Worker,Permanent
201,2023-03,98.68059828781084,18,3.2,0,,Logistics,Ceres,Logistics Supervisor,Permanent
203,2023-03,83.04458448227777,20,3.2,0,,Administration,Ceres,Office Manager,Permanent
207,2023-03,181.98127447341952,19,3.4,0,,Pack House Operations,Ceres,Packer,Permanent
208,2023-03,109.6754202655132,19,3.4,0,,Logistics,Citrusdal,Forklift Operator,Permanent
211,2023-03,104.29767868705532,19,3.4,0,,Administration,Graaff-Reinet,HR Assistant,Permanent
213,2023-03,116.84609020361225,19,3.5,0,,Administration,Citrusdal,Payroll Officer,Permanent
220,2023-03,127.91140839665786,20,3.7,0,,Maintenance,Citrusdal,Maintenance Supervisor,Permanent
222,2023-03,122.23889297834042,20,3.7,0,,Logistics,Upington,Warehouse Worker,Permanent
227,2023-03,97.97225905711888,17,3.1,0,,Maintenance,Graaff-Reinet,Equipment Technician,Permanent
228,2023-03,172.50491077224757,20,3.5,0,,Pack House Operations,Ceres,Floor Supervisor,Permanent
229,2023-03,97.7525979589354,20,3.4,0,,Logistics,Ceres Pack House,Logistics Supervisor,Permanent
230,2023-03,80.87582829276033,18,3.0,0,,Logistics,Ceres,Logistics Supervisor,Contract
232,2023-03,96.53068138700954,20,3.4,0,,Administration,Ceres,Admin Clerk,Permanent
235,2023-03,113.53785085263553,20,3.6,0,,Administration,Ceres Pack House,Payroll Officer,Permanent
237,2023-03,138.97042856220853,16,3.3,0,,Citrus Production,Citrusdal,Farm Worker,Permanent
238,2023-03,111.52611365369066,20,3.5,0,,Maintenance,Ceres Pack House,Electrician,Permanent
245,2023-03,191.0066284795868,18,3.4,0,,Pack House Operations,Ceres Pack House,Machine Operator,Permanent
249,2023-03,130.77092193670194,18,3.6,0,,Maintenance,Upington,Mechanic,Permanent
250,2023-03,106.52712552899318,18,3.3,0,,Logistics,Citrusdal Pack House,Dispatcher,Permanent
251,2023-03,111.70516614510095,20,3.5,0,,Administration,Graaff-Reinet,Data Entry Clerk,Permanent
253,2023-03,113.56617523790705,18,3.2,0,,Citrus Production,Citrusdal,Tractor Driver,Permanent
255,2023-03,109.5825423372108,20,3.5,0,,Administration,Dullstroom,Office Manager,Permanent
256,2023-03,151.1732430932126,17,3.0,0,,Pack House Operations,Ceres Pack House,Quality Inspector,Permanent
257,2023-03,102.87037276261884,16,3.0,1,Policy Violation,Citrus Production,Citrusdal,Farm Worker,Contract
259,2023-03,105.28775579843288,15,2.9,0,,Grape Production,Upington,Vineyard Worker,Contract
262,2023-03,105.35477672548902,15,3.0,0,,Maintenance,Dullstroom,Maintenance Worker,Permanent
263,2023-03,208.68735700107587,20,3.7,0,,Pack House Operations,Citrusdal Pack House,Packer,Permanent
265,2023-03,100.5791267960719,20,3.4,0,,Logistics,Ceres Pack House,Forklift Operator,Permanent
266,2023-03,109.80587936002347,18,3.3,0,,Maintenance,Citrusdal Pack House,Mechanic,Permanent
267,2023-03,151.2415825738752,9,2.3,0,,Pack House Operations,Ceres Pack House,Floor Supervisor,Contract
268,2023-03,115.59641992000743,20,3.6,0,,Logistics,Citrusdal,Warehouse Worker,Permanent
272,2023-03,124.34401711063447,20,3.5,0,,Grape Production,Upington,Vineyard Supervisor,Permanent
273,2023-03,87.18731048716774,17,3.0,0,,Logistics,Upington,Warehouse Worker,Permanent
275,2023-03,112.05391301219582,17,3.3,0,,Maintenance,Dullstroom,Maintenance Worker,Permanent
276,2023-03,171.7105638456773,16,3.1,0,,Pack House Operations,Citrusdal Pack House,Sorter,Permanent
279,2023-03,117.36856829531294,16,3.1,0,,Grape Production,Upington,Harvester,Permanent
281,2023-03,100.59337272411666,20,3.4,0,,Logistics,Citrusdal,Dispatcher,Permanent
283,2023-03,90.42306136815203,20,3.3,0,,Administration,Citrusdal Pack House,Admin Clerk,Permanent
285,2023-03,87.59522341141795,20,3.4,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
290,2023-03,111.24579728690395,20,3.5,0,,Maintenance,Upington,Equipment Technician,Permanent
293,2023-03,104.95092199981785,16,3.0,0,,Citrus Production,Citrusdal,Harvester,Contract
294,2023-03,100.80266362628359,18,3.2,0,,Administration,Graaff-Reinet,Office Manager,Permanent
295,2023-03,110.17355157233237,18,3.3,0,,Administration,Graaff-Reinet,Data Entry Clerk,Permanent
296,2023-03,127.7544747960579,20,3.7,0,,Maintenance,Dullstroom,Mechanic,Permanent
298,2023-03,111.29833102295575,13,2.8,0,,Citrus Production,Citrusdal,Tractor Driver,Permanent
299,2023-03,167.31213391070625,17,3.1,0,,Pack House Operations,Ceres,Floor Supervisor,Permanent
301,2023-03,97.28045325250676,18,3.3,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
303,2023-03,112.74417584026764,17,3.3,0,,Administration,Dullstroom,Office Manager,Permanent
307,2023-03,94.10048491480846,19,3.2,0,,Citrus Production,Citrusdal,Farm Worker,Contract
309,2023-03,86.77764182662203,20,3.3,0,,Administration,Citrusdal,Admin Clerk,Permanent
314,2023-03,89.76785404492105,18,3.1,0,,Maintenance,Dullstroom,Electrician,Contract
315,2023-03,112.61471124282036,17,3.3,0,,Maintenance,Upington,Electrician,Permanent
317,2023-03,102.82752337944287,20,3.4,0,,Logistics,Upington,Driver,Permanent
318,2023-03,104.35332871430214,20,3.5,0,,Maintenance,Ceres,Maintenance Worker,Permanent
320,2023-03,106.03341213283463,20,3.5,0,,Maintenance,Dullstroom,Maintenance Worker,Permanent
321,2023-03,115.23224800416567,20,3.7,0,,Cattle Farming,Dullstroom,Cattle Herder,Permanent
322,2023-03,92.58254305170934,11,2.4,0,,Maize Production,Graaff-Reinet,Field Supervisor,Permanent
327,2023-03,90.09828487210845,15,2.8,0,,Logistics,Upington,Driver,Permanent
328,2023-03,100.78203553141947,20,3.4,0,,Logistics,Ceres Pack House,Forklift Operator,Permanent
330,2023-03,95.75703577826636,19,3.3,0,,Logistics,Citrusdal,Warehouse Worker,Permanent
332,2023-03,89.03920361575287,17,3.0,0,,Maintenance,Upington,Electrician,Permanent
333,2023-03,109.2867865430809,20,3.4,0,,Grape Production,Upington,Vineyard Supervisor,Permanent
334,2023-03,97.95019359658447,20,3.4,0,,Administration,Ceres,Payroll Officer,Permanent
336,2023-03,101.57667146253696,20,3.4,0,,Logistics,Citrusdal,Forklift Operator,Permanent
340,2023-03,79.70752460548637,20,3.3,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
343,2023-03,104.84032447241441,20,3.5,0,,Administration,Ceres Pack House,HR Assistant,Permanent
354,2023-03,93.14236045102649,20,3.3,0,,Administration,Dullstroom,Admin Clerk,Permanent
355,2023-03,96.88242321389282,13,2.7,0,,Logistics,Citrusdal,Forklift Operator,Permanent
356,2023-03,100.82202382587319,15,2.9,0,,Maintenance,Ceres,Maintenance Worker,Permanent
357,2023-03,162.28760400507687,17,3.1,0,,Pack House Operations,Ceres Pack House,Logistics Coordinator,Permanent
360,2023-03,97.7664737389513,20,3.4,0,,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent
363,2023-03,107.98200751836463,20,3.5,0,,Logistics,Citrusdal Pack House,Warehouse Worker,Permanent
366,2023-03,101.88234632393899,17,3.2,0,,Administration,Ceres Pack House,Payroll Officer,Contract
367,2023-03,101.87381487265479,16,3.1,2,Safety Incident,Maintenance,Citrusdal Pack House,Maintenance Supervisor,Permanent
368,2023-03,103.08667210040974,20,3.5,0,,Maintenance,Citrusdal,Maintenance Worker,Permanent
372,2023-03,85.89211543814774,17,3.0,1,Unauthorized Absence,Maintenance,Upington,Equipment Technician,Permanent
373,2023-03,107.19202768939746,19,3.4,0,,Logistics,Ceres Pack House,Logistics Supervisor,Permanent
375,2023-03,87.10269467608029,18,3.1,0,,Maintenance,Upington,Maintenance Worker,Contract
377,2023-03,125.8185734033011,17,3.4,0,,Administration,Graaff-Reinet,Office Manager,Permanent
384,2023-03,128.2406572738404,20,3.7,1,Safety Incident,Administration,Graaff-Reinet,Office Manager,Permanent
385,2023-03,102.37939008656464,14,2.9,0,,Maintenance,Graaff-Reinet,Equipment Technician,Permanent
388,2023-03,114.52863847022601,19,3.5,0,,Administration,Ceres,Data Entry Clerk,Permanent
389,2023-03,86.97541185660678,19,3.2,0,,Administration,Graaff-Reinet,Data Entry Clerk,Permanent
398,2023-03,128.61017537486362,20,3.6,0,,Citrus Production,Citrusdal,Irrigation Specialist,Permanent
401,2023-03,82.1383624392635,20,3.2,0,,Maintenance,Dullstroom,Electrician,Permanent
402,2023-03,105.44669692001548,20,3.6,0,,Cattle Farming,Dullstroom,Cattle Herder,Permanent
406,2023-03,201.26256747366995,17,3.4,0,,Pack House Operations,Citrusdal Pack House,Floor Supervisor,Permanent
407,2023-03,160.7246176430728,12,2.6,1,Tardiness,Pack House Operations,Citrusdal Pack House,Logistics Coordinator,Contract
408,2023-03,105.64774234239134,20,3.5,0,,Maintenance,Citrusdal,Equipment Technician,Permanent
409,2023-03,97.66400150904656,18,3.2,0,,Administration,Upington,Admin Clerk,Permanent
410,2023-03,110.75786340734298,19,3.4,0,,Maintenance,Ceres,Mechanic,Permanent
411,2023-03,90.52252396509417,19,3.2,0,,Logistics,Citrusdal Pack House,Forklift Operator,Permanent
413,2023-03,91.51921197197836,16,3.1,1,Safety Incident,Cattle Farming,Dullstroom,Milking Technician,Permanent
414,2023-03,181.50457004288594,17,3.2,0,,Pack House Operations,Ceres Pack House,Machine Operator,Permanent
416,2023-03,99.3107939558727,18,3.2,0,,Logistics,Upington,Driver,Permanent
417,2023-03,86.71605618480271,19,3.2,0,,Maintenance,Citrusdal Pack House,Mechanic,Permanent
418,2023-03,105.14229377400764,19,3.4,0,,Maintenance,Citrusdal Pack House,Equipment Technician,Permanent
420,2023-03,121.6376865001339,20,3.7,0,,Logistics,Upington,Dispatcher,Permanent
424,2023-03,91.33243649732539,17,3.0,0,,Logistics,Citrusdal Pack House,Dispatcher,Contract
431,2023-03,85.80020006430301,16,2.9,0,,Logistics,Upington,Dispatcher,Contract
437,2023-03,111.17342523081344,17,3.3,0,,Logistics,Upington,Logistics Supervisor,Permanent
438,2023-03,106.77592751932922,16,3.3,0,,Cattle Farming,Dullstroom,Milking Technician,Permanent
439,2023-03,104.57443346348508,19,3.4,0,,Maintenance,Dullstroom,Maintenance Supervisor,Permanent
440,2023-03,114.25528219801285,17,3.4,0,,Cattle Farming,Dullstroom,Farm Hand,Permanent
443,2023-03,116.65442778746208,20,3.6,0,,Logistics,Citrusdal,Driver,Permanent
445,2023-03,88.06038847823272,17,3.0,0,,Maintenance,Upington,Maintenance Supervisor,Permanent
450,2023-03,91.13970785724375,19,3.2,0,,Administration,Graaff-Reinet,Office Manager,Permanent
451,2023-03,100.64175861730875,17,3.1,0,,Administration,Graaff-Reinet,Payroll Officer,Permanent
452,2023-03,115.58563686251142,18,3.4,0,,Maintenance,Dullstroom,Mechanic,Permanent
455,2023-03,102.6786255715671,19,3.4,0,,Logistics,Ceres,Warehouse Worker,Permanent
457,2023-03,124.01398705699296,19,3.6,0,,Administration,Graaff-Reinet,Office Manager,Permanent
460,2023-03,105.67123417292116,20,3.5,0,,Logistics,Upington,Forklift Operator,Permanent
461,2023-03,87.5624974345202,19,3.2,0,,Administration,Citrusdal Pack House,Payroll Officer,Permanent
462,2023-03,103.0133821893053,18,3.3,0,,Maintenance,Upington,Maintenance Supervisor,Permanent
464,2023-03,120.48295429279152,19,3.5,0,,Maintenance,Dullstroom,Equipment Technician,Permanent
465,2023-03,102.23194612412684,15,3.0,0,,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent
466,2023-03,97.54521395937873,18,3.2,0,,Maintenance,Dullstroom,Maintenance Supervisor,Contract
469,2023-03,99.3580419350457,20,3.4,0,,Administration,Citrusdal,Office Manager,Permanent
470,2023-03,89.17361610582391,17,3.0,0,,Maintenance,Dullstroom,Maintenance Supervisor,Permanent
472,2023-03,173.539923910494,19,3.4,0,,Pack House Operations,Ceres,Floor Supervisor,Permanent
475,2023-03,153.3099424408686,17,3.0,0,,Pack House Operations,Ceres,Packer,Contract
476,2023-03,107.20280439329952,19,3.4,0,,Administration,Upington,Office Manager,Contract
482,2023-03,99.65701844030423,20,3.3,0,,Grape Production,Upington,Viticulturist,Permanent
485,2023-03,108.99791108892619,18,3.3,0,,Administration,Upington,Admin Clerk,Permanent
486,2023-03,91.66313990696585,16,2.9,0,,Logistics,Citrusdal,Logistics Supervisor,Contract
489,2023-03,115.88038176018115,20,3.6,0,,Logistics,Citrusdal Pack House,Logistics Supervisor,Permanent
490,2023-03,121.07696520524506,18,3.3,0,,Citrus Production,Citrusdal,Irrigation Specialist,Permanent
492,2023-03,112.85255228929555,18,3.4,0,,Logistics,Ceres Pack House,Logistics Supervisor,Permanent
494,2023-03,122.11822685783044,16,3.3,0,,Administration,Upington,Office Manager,Permanent
495,2023-03,96.38138459234946,20,3.4,0,,Administration,Ceres Pack House,HR Assistant,Permanent
499,2023-03,119.90929865430734,18,3.4,0,,Logistics,Ceres,Driver,Permanent
505,2023-03,98.60555428401928,20,3.4,0,,Administration,Graaff-Reinet,HR Assistant,Permanent
507,2023-03,123.96340777946891,20,3.7,0,,Logistics,Citrusdal Pack House,Driver,Permanent
508,2023-03,98.31710240483332,18,3.3,0,,Cattle Farming,Dullstroom,Animal Care Specialist,Permanent
513,2023-03,158.13353151155155,16,3.0,0,,Pack House Operations,Ceres Pack House,Quality Inspector,Permanent
515,2023-03,104.00475535502086,19,3.4,0,,Maintenance,Upington,Maintenance Supervisor,Contract
519,2023-03,113.43031954137238,18,3.4,0,,Administration,Graaff-Reinet,Data Entry Clerk,Permanent
525,2023-03,99.46255820332816,20,3.4,0,,Maintenance,Ceres Pack House,Maintenance Worker,Permanent
532,2023-03,88.51927905377308,18,3.2,0,,Cattle Farming,Dullstroom,Farm Hand,Permanent
533,2023-03,109.78293754059715,20,3.5,0,,Administration,Citrusdal,Office Manager,Permanent
535,2023-03,98.82838519759038,20,3.4,2,Equipment Damage,Administration,Upington,Data Entry Clerk,Permanent
537,2023-03,99.44187883241233,20,3.4,0,,Administration,Ceres,Data Entry Clerk,Permanent
538,2023-03,91.06706349765122,19,3.2,0,,Administration,Ceres Pack House,Payroll Officer,Permanent
546,2023-03,125.8479482409856,19,3.5,0,,Grape Production,Upington,Pruner,Permanent
553,2023-03,102.79594313152167,19,3.4,2,Policy Violation,Maintenance,Ceres Pack House,Maintenance Supervisor,Permanent
555,2023-03,104.1316557138639,17,3.2,0,,Administration,Ceres,Admin Clerk,Permanent
556,2023-03,114.65390451661841,20,3.6,0,,Logistics,Citrusdal Pack House,Driver,Permanent
557,2023-03,120.84906178572385,19,3.6,0,,Maintenance,Ceres,Electrician,Permanent
558,2023-03,111.31377931532795,20,3.7,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
559,2023-03,100.00126632888852,20,3.4,0,,Logistics,Citrusdal,Dispatcher,Permanent
560,2023-03,99.43430749082289,20,3.4,0,,Administration,Citrusdal,Payroll Officer,Permanent
564,2023-03,94.36538418792829,19,3.3,0,,Administration,Ceres,Payroll Officer,Permanent
567,2023-03,127.89686002237308,19,3.5,0,,Grape Production,Upington,Viticulturist,Permanent
572,2023-03,97.25477666639465,20,3.4,0,,Administration,Ceres,Admin Clerk,Permanent
576,2023-03,112.44561668756343,20,3.6,0,,Administration,Dullstroom,Office Manager,Permanent
580,2023-03,153.09989565444553,14,2.8,0,,Pack House Operations,Ceres Pack House,Logistics Coordinator,Contract
581,2023-03,91.21643232111217,17,3.0,0,,Maintenance,Ceres Pack House,Maintenance Worker,Permanent
585,2023-03,109.65756313403979,20,3.5,0,,Logistics,Ceres Pack House,Logistics Supervisor,Permanent
586,2023-03,96.8668288381555,18,3.2,0,,Administration,Citrusdal Pack House,Admin Clerk,Permanent
587,2023-03,82.55018713109249,17,3.1,0,,Cattle Farming,Dullstroom,Farm Hand,Contract
589,2023-03,103.42096329705126,13,2.8,1,Equipment Damage,Maintenance,Citrusdal,Equipment Technician,Contract
590,2023-03,88.86423557523726,20,3.4,0,,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent
597,2023-03,81.81323373002002,20,3.2,0,,Logistics,Ceres Pack House,Forklift Operator,Permanent
598,2023-03,120.94070156253571,18,3.3,0,,Maize Production,Graaff-Reinet,Tractor Driver,Permanent
600,2023-03,86.83982347491853,20,3.3,0,,Maintenance,Citrusdal Pack House,Equipment Technician,Permanent
601,2023-03,119.65119853418568,19,3.4,0,,Grape Production,Upington,Viticulturist,Permanent
602,2023-03,97.90572095885813,20,3.4,0,,Maintenance,Ceres Pack House,Maintenance Supervisor,Permanent
605,2023-03,113.02579999201666,14,3.0,0,,Maintenance,Citrusdal Pack House,Maintenance Supervisor,Permanent
607,2023-03,112.20303375317438,19,3.5,0,,Maintenance,Upington,Electrician,Permanent
